rollout/ep_len_mean,custom/win_rate,custom/loss_rate,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,custom/tie_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
,0.45,0.461,,1760000,,,0.089,,-0.00022627411817666143,0.38556236028671265,428,0.003753662109375,0.1366087794303894,-0.19927499536424875,0.0001,0.798882469534874,0.0009561369,0.2,-0.04,1.498
1.41,0.433,0.491,464,1769472,3810,108,0.076,0.115,,,,,,,,,,,,
1.45,0.4335,0.4835,468,1785856,3810,109,0.083,-0.085,-0.000357795950549189,0.3935208022594452,432,0.0077972412109375,0.1360551118850708,-0.1962788929231465,0.0001,0.8065169993788004,0.0012491525,0.2,,
,0.422,0.4925,,1800000,,,0.0855,,-0.0006210016799741425,0.39013615250587463,436,0.00933837890625,0.13249462842941284,-0.19379345001652837,0.0001,0.8129741419106722,0.0010243416,0.2,-0.061,1.502
1.53,0.4445,0.473,473,1802240,3808,110,0.0825,-0.17,,,,,,,,,,,,
1.51,0.429,0.496,477,1818624,3808,111,0.075,0.075,-5.988839166093385e-05,0.3929470181465149,440,0.0009765625,0.13712310791015625,-0.19521288154646754,0.0001,0.8080654107034206,0.0003699308,0.2,,
1.55,0.4275,0.491,481,1835008,3808,112,0.0815,-0.035,-0.00017210345686180517,0.4042608141899109,444,0.00250244140625,0.13919419050216675,-0.19062855932861567,0.0001,0.8109123297035694,0.00048231432,0.2,,
,0.4245,0.483,,1840000,,,0.0925,,-0.00013503981972462498,0.3906896710395813,448,0.0037841796875,0.145311176776886,-0.18912247940897942,0.0001,0.7920747250318527,0.0009698997,0.2,-0.032,1.532
1.66,0.439,0.482,486,1851392,3807,113,0.079,0.03,,,,,,,,,,,,
1.42,0.418,0.4865,490,1867776,3808,114,0.0955,-0.025,-0.0002189728693338111,0.38090646266937256,452,0.0028228759765625,0.14057451486587524,-0.19184208055958152,0.0001,0.7978800497949123,0.00065878825,0.2,,
,0.4305,0.4835,,1880000,,,0.086,,-7.125249248929322e-05,0.3857647478580475,456,0.0011749267578125,0.14080780744552612,-0.1948881559073925,0.0001,0.8019315507262945,0.00012472861,0.2,0.032,1.556
1.6,0.4205,0.4935,494,1884160,3806,115,0.086,-0.075,,,,,,,,,,,,
1.51,0.4495,0.4655,499,1900544,3808,116,0.085,-0.01,-0.0003090078062086832,0.3877394497394562,460,0.00311279296875,0.14089632034301758,-0.18896665098145604,0.0001,0.7990157790482044,0.00082786084,0.2,,
1.48,0.443,0.4735,503,1916928,3810,117,0.0835,-0.04,-5.0830349209718406e-05,0.3873565196990967,464,0.0022735595703125,0.14416950941085815,-0.1889527067542076,0.0001,0.8016558922827244,0.0010183214,0.2,,
,0.4275,0.4875,,1920000,,,0.085,,-0.00014992375872679986,0.38376832008361816,468,0.0018310546875,0.14405429363250732,-0.18843365088105202,0.0001,0.7997262738645077,0.00030824656,0.2,-0.032,1.498
1.58,0.4435,0.476,507,1933312,3809,118,0.0805,-0.085,,,,,,,,,,,,
1.64,0.437,0.4705,511,1949696,3810,119,0.0925,-0.095,-0.00015019030615803786,0.39192092418670654,472,0.0028076171875,0.14317727088928223,-0.1863391730003059,0.0001,0.7995436601340771,0.0001520656,0.2,,
,0.437,0.4765,,1960000,,,0.0865,,-0.00015396890375996009,0.38504505157470703,476,0.0038909912109375,0.15467524528503418,-0.18909383518621325,0.0001,0.7859704345464706,0.00038747914,0.2,-0.051,1.506
1.4,0.4225,0.4965,516,1966080,3809,120,0.081,-0.225,,,,,,,,,,,,
1.53,0.424,0.491,520,1982464,3809,121,0.085,0.03,-0.0003329103856231086,0.3953283131122589,480,0.0062408447265625,0.14951932430267334,-0.1934051518328488,0.0001,0.7943165190517902,0.00088835665,0.2,,
1.51,0.4065,0.5035,524,1998848,3809,122,0.09,-0.095,-0.0004101663434994407,0.3833075165748596,484,0.0063018798828125,0.1469537615776062,-0.19424264319241047,0.0001,0.8001617304980755,0.00037545146,0.2,,
,,,,2000000,,,,,-0.00034077967575285584,0.37980806827545166,488,0.00384521484375,0.14986252784729004,-0.19634885573759675,0.0001,0.7985620144754648,0.0004669068,0.2,-0.057,1.57
1.52,0.434,0.489,528,2015232,3809,123,0.077,-0.09,,,,,,,,,,,,
1.57,0.4255,0.4915,533,2031616,3809,124,0.083,0.045,-0.000456522135209525,0.4000280797481537,492,0.0050201416015625,0.15592938661575317,-0.19593791710212827,0.0001,0.7980582136660814,0.0005634724,0.2,,
,0.4295,0.492,,2040000,,,0.0785,,-0.00020066637989657465,0.39651310443878174,496,0.0046234130859375,0.15157830715179443,-0.19814657885581255,0.0001,0.7983480896800756,0.0010049242,0.2,-0.089,1.472
1.58,0.423,0.4845,537,2048000,3807,125,0.0925,-0.005,,,,,,,,,,,,
1.48,0.404,0.506,542,2064384,3808,126,0.09,0.025,-0.0002955732197733596,0.38351452350616455,500,0.0015106201171875,0.14927536249160767,-0.19628117885440588,0.0001,0.8034230545163155,0.0005432503,0.2,,
,0.4185,0.49,,2080000,,,0.0915,,-7.185219146776944e-05,0.397520512342453,504,0.0028228759765625,0.1430174708366394,-0.1966112032532692,0.0001,0.8080933969467878,0.00073376554,0.2,-0.018,1.608
1.46,0.4275,0.481,546,2080768,3805,127,0.0915,0.03,,,,,,,,,,,,
1.49,0.4265,0.4795,551,2097152,3804,128,0.094,0.015,-0.00019518219778547063,0.3835219740867615,508,0.003265380859375,0.15540677309036255,-0.19376598251983523,0.0001,0.7913039848208427,0.000708752,0.2,,
1.59,0.4385,0.476,555,2113536,3804,129,0.0855,-0.03,-0.0004035064484924078,0.38807225227355957,512,0.0024566650390625,0.1500333547592163,-0.1920277727767825,0.0001,0.7975936122238636,0.00070684263,0.2,,
,0.444,0.4645,,2120000,,,0.0915,,2.3883319954620674e-05,0.3938755989074707,516,0.00140380859375,0.15121519565582275,-0.1886993683874607,0.0001,0.7928782869130373,0.0003031224,0.2,0.006,1.584
1.55,0.418,0.493,560,2129920,3802,130,0.089,0.09,,,,,,,,,,,,
1.63,0.4325,0.48,564,2146304,3801,131,0.0875,-0.02,-0.00018984253620146774,0.3904903531074524,520,0.00567626953125,0.15978848934173584,-0.1867944709956646,0.0001,0.7879423033446074,0.00033685053,0.2,,
,0.4445,0.4735,,2160000,,,0.082,,-5.878199044673238e-05,0.38144993782043457,524,0.0037994384765625,0.15857672691345215,-0.1837914902716875,0.0001,0.7791291680186987,0.0005438308,0.2,-0.08,1.532
1.59,0.4225,0.4895,569,2162688,3800,132,0.088,0.005,,,,,,,,,,,,
1.48,0.408,0.509,573,2179072,3801,133,0.083,-0.125,-0.00014330159683595411,0.3805495500564575,528,0.0023193359375,0.1621648073196411,-0.186753842048347,0.0001,0.7840036004781723,0.00020238144,0.2,,
1.58,0.426,0.4915,577,2195456,3802,134,0.0825,0.055,-9.643201883591246e-05,0.38638007640838623,532,0.00079345703125,0.1556721329689026,-0.1850629490800202,0.0001,0.7926841489970684,0.000334087,0.2,,
,0.421,0.4915,,2200000,,,0.0875,,-0.00022509757400257513,0.37918949127197266,536,0.002197265625,0.15303558111190796,-0.18805196974426508,0.0001,0.7990761715918779,0.0006057666,0.2,-0.122,1.522
1.54,0.4435,0.4775,581,2211840,3800,135,0.079,0.05,,,,,,,,,,,,
1.61,0.4255,0.483,586,2228224,3800,136,0.0915,0.015,-0.000351474362105364,0.3880164325237274,540,0.003143310546875,0.1586982011795044,-0.1816450785845518,0.0001,0.7889949437230825,0.0005864502,0.2,,
,0.441,0.4725,,2240000,,,0.0865,,-0.0005000767960154917,0.3943268358707428,544,0.004241943359375,0.16534823179244995,-0.19112176960334182,0.0001,0.7893901914358139,0.0010946211,0.2,-0.088,1.532
1.69,0.4235,0.484,590,2244608,3798,137,0.0925,-0.04,,,,,,,,,,,,
1.58,0.4245,0.488,595,2260992,3798,138,0.0875,0.125,-4.073492527822964e-05,0.3975267708301544,548,0.0013885498046875,0.15377932786941528,-0.18298663664609194,0.0001,0.7932070922106504,0.00011010981,0.2,,
1.51,0.44,0.4695,599,2277376,3797,139,0.0905,-0.045,-0.00019802564565907232,0.3821122348308563,552,0.0019989013671875,0.16617029905319214,-0.18833449762314558,0.0001,0.7892516758292913,0.00043255364,0.2,,
,0.4245,0.49,,2280000,,,0.0855,,-0.0003293443296570331,0.39823493361473083,556,0.0014190673828125,0.16436272859573364,-0.18553303740918636,0.0001,0.8031056933104992,0.00050868286,0.2,-0.019,1.524
1.52,0.433,0.479,604,2293760,3795,140,0.088,0.035,,,,,,,,,,,,
1.51,0.4405,0.478,608,2310144,3795,141,0.0815,-0.1,-0.00024689823294465896,0.3715043067932129,560,0.0038604736328125,0.15907293558120728,-0.18409548746421933,0.0001,0.7868802510201931,0.00051933865,0.2,,
,0.433,0.477,,2320000,,,0.09,,0.00025930890478775837,0.38161537051200867,564,0.005950927734375,0.17635005712509155,-0.18608327582478523,0.0001,0.7756019309163094,0.0005896029,0.2,-0.04,1.564
1.6,0.442,0.4695,613,2326528,3793,142,0.0885,-0.125,,,,,,,,,,,,
1.53,0.4225,0.4915,617,2342912,3794,143,0.086,-0.165,-0.0004701906073023565,0.38118886947631836,568,0.0053558349609375,0.16516000032424927,-0.18334781052544713,0.0001,0.7856767158955336,0.0011338438,0.2,,
1.51,0.445,0.46,621,2359296,3795,144,0.095,-0.01,-0.00010951736658171285,0.3886197507381439,572,0.002593994140625,0.16698801517486572,-0.18239855207502842,0.0001,0.782916996628046,0.00051449833,0.2,,
,,,,2360000,,,,,-0.0006565657840837957,0.37679237127304077,576,0.007904052734375,0.16633301973342896,-0.1788000175729394,0.0001,0.7785858158022165,0.00093151384,0.2,-0.065,1.552
1.55,0.444,0.4695,626,2375680,3794,145,0.0865,0.035,,,,,,,,,,,,
1.41,0.4195,0.485,630,2392064,3795,146,0.0955,-0.07,-0.0002479655413480941,0.38302645087242126,580,0.0020751953125,0.16073501110076904,-0.17870966717600822,0.0001,0.7947819624096155,0.0008303452,0.2,,
,0.4375,0.477,,2400000,,,0.0855,,-0.0005035905960539822,0.3832148015499115,584,0.0059661865234375,0.1557767391204834,-0.18042206717655063,0.0001,0.7906328290700912,0.0009885017,0.2,-0.002,1.524
1.64,0.42,0.4925,634,2408448,3794,147,0.0875,0.025,,,,,,,,,,,,
1.55,0.4455,0.4695,638,2424832,3795,148,0.085,0.055,-0.00017381176803610288,0.38387006521224976,588,0.0014495849609375,0.1713985800743103,-0.17666399152949452,0.0001,0.7747616060078144,0.0006822367,0.2,,
,0.434,0.4715,,2440000,,,0.0945,,-0.00021331317475414835,0.3736673891544342,592,0.0035247802734375,0.17544031143188477,-0.17914222180843353,0.0001,0.7850526217371225,0.0011466078,0.2,0.001,1.544
1.67,0.4325,0.478,643,2441216,3793,149,0.0895,-0.065,,,,,,,,,,,,
1.42,0.439,0.475,647,2457600,3794,150,0.086,-0.01,-0.00040929106398834847,0.3741643726825714,596,0.0034027099609375,0.16482579708099365,-0.18110290123149753,0.0001,0.7851176597177982,0.00092380244,0.2,,
1.6,0.425,0.494,651,2473984,3795,151,0.081,-0.2,-0.0002633877011248842,0.3861371874809265,600,0.0039825439453125,0.17342311143875122,-0.17853364581242204,0.0001,0.7911012973636389,0.000490405,0.2,,
,0.4295,0.4885,,2480000,,,0.082,,-0.0005177021757845068,0.38382068276405334,604,0.004058837890625,0.16660970449447632,-0.17634654697030783,0.0001,0.8042970970273018,0.00084598456,0.2,0.0,1.534
1.54,0.44,0.4775,656,2490368,3794,152,0.0825,0.125,,,,,,,,,,,,
1.41,0.4115,0.491,660,2506752,3795,153,0.0975,-0.09,-0.0001744709261402022,0.4043901264667511,608,0.00726318359375,0.16697776317596436,-0.17406162107363343,0.0001,0.7971506640315056,0.0011629853,0.2,,
,0.4245,0.4815,,2520000,,,0.094,,-1.2728633009828627e-05,0.372575581073761,612,0.0031890869140625,0.1674925684928894,-0.17380549106746912,0.0001,0.7795811798423529,0.0011259639,0.2,-0.071,1.526
1.53,0.429,0.476,664,2523136,3794,154,0.095,-0.095,,,,,,,,,,,,
1.51,0.429,0.492,669,2539520,3795,155,0.079,-0.145,-0.00026500902822590433,0.37377581000328064,616,0.00506591796875,0.17632097005844116,-0.1722707343287766,0.0001,0.7742221038788557,0.00098958,0.2,,
1.39,0.4295,0.4845,673,2555904,3797,156,0.086,-0.14,-0.00021986482170177624,0.3839069604873657,620,0.0049285888671875,0.16868633031845093,-0.17853474104776978,0.0001,0.7853350285440683,0.0007103487,0.2,,
,0.4115,0.493,,2560000,,,0.0955,,-0.00028017676959279925,0.37372323870658875,624,0.0084686279296875,0.17605632543563843,-0.1723581301048398,0.0001,0.7742429058998823,0.0005761902,0.2,0.063,1.554
1.55,0.4235,0.475,677,2572288,3795,157,0.1015,-0.095,,,,,,,,,,,,
1.47,0.4145,0.4845,682,2588672,3794,158,0.101,-0.03,-4.360610546427779e-05,0.3819888234138489,628,0.0077362060546875,0.1759786605834961,-0.17404087400063872,0.0001,0.7717699874192476,0.00071014586,0.2,,
,0.4285,0.4725,,2600000,,,0.099,,-9.844125816016458e-05,0.39158836007118225,632,0.004638671875,0.17791438102722168,-0.1733571826480329,0.0001,0.7748752050101757,0.0009168829,0.2,-0.053,1.522
1.6,0.433,0.477,686,2605056,3794,159,0.09,0.355,,,,,,,,,,,,
1.47,0.4375,0.476,690,2621440,3794,160,0.0865,0.095,-6.998070966801606e-05,0.3759722411632538,636,0.0023193359375,0.18996816873550415,-0.17163229221478105,0.0001,0.7633417416363955,0.00043692262,0.2,,
1.49,0.45,0.465,694,2637824,3795,161,0.085,0.16,-0.00015084656843100674,0.364291250705719,640,0.0013580322265625,0.1820615530014038,-0.17526276735588908,0.0001,0.7678257338702679,0.0005095436,0.2,,
,0.4385,0.4705,,2640000,,,0.091,,-0.0006477891220129095,0.38662275671958923,644,0.0053253173828125,0.1677863597869873,-0.1761669642291963,0.0001,0.787826407700777,0.0005312811,0.2,0.016,1.528
1.5,0.445,0.4695,699,2654208,3793,162,0.0855,0.025,,,,,,,,,,,,
1.47,0.424,0.485,703,2670592,3794,163,0.091,-0.165,-8.827050987747498e-05,0.37654951214790344,648,0.0012664794921875,0.17640066146850586,-0.1769736148416996,0.0001,0.77482127584517,0.00042032407,0.2,,
,0.4205,0.492,,2680000,,,0.0875,,-0.0003731652286660392,0.37880221009254456,652,0.002166748046875,0.1781606674194336,-0.17632432095706463,0.0001,0.7748097945004702,0.000800399,0.2,-0.025,1.532
1.51,0.435,0.4825,708,2686976,3792,164,0.0825,0.02,,,,,,,,,,,,
1.55,0.4455,0.4725,712,2703360,3792,165,0.082,0.08,-0.000134585836349288,0.3852386176586151,656,0.0068817138671875,0.17059475183486938,-0.17531757662072778,0.0001,0.7749679666012526,0.0011182745,0.2,,
1.44,0.424,0.4905,716,2719744,3793,166,0.0855,-0.115,-5.1595103286672384e-05,0.3835277557373047,660,0.0048980712890625,0.18315386772155762,-0.17622995050624013,0.0001,0.774942034855485,0.0005497855,0.2,,
,,,,2720000,,,,,-5.529997361009009e-05,0.3714688718318939,664,0.001007080078125,0.18385881185531616,-0.17519647534936666,0.0001,0.758936770260334,0.0005148472,0.2,-0.022,1.558
1.49,0.4045,0.508,721,2736128,3793,167,0.0875,-0.18,,,,,,,,,,,,
1.46,0.4295,0.482,725,2752512,3794,168,0.0885,0.045,-3.227758134016767e-05,0.38096198439598083,668,0.001983642578125,0.1852514147758484,-0.17308726767078042,0.0001,0.7608164995908737,0.0004091889,0.2,,
,0.4205,0.496,,2760000,,,0.0835,,-0.00021127710715518333,0.3767438530921936,672,0.005401611328125,0.17917591333389282,-0.17615163745358586,0.0001,0.7700183261185884,0.0006233407,0.2,0.04,1.592
1.5,0.4205,0.4915,729,2768896,3793,169,0.088,-0.01,,,,,,,,,,,,
1.58,0.4425,0.469,734,2785280,3794,170,0.0885,-0.155,-0.0003329887258587405,0.38647228479385376,676,0.0026702880859375,0.17988836765289307,-0.17263726657256484,0.0001,0.7733135800808668,0.00047581442,0.2,,
,0.4285,0.4835,,2800000,,,0.088,,-8.008091390365735e-05,0.376094788312912,680,0.0024871826171875,0.18006855249404907,-0.17276872135698795,0.0001,0.7715271525084972,0.0005606468,0.2,-0.002,1.524
1.44,0.4415,0.485,738,2801664,3794,171,0.0735,-0.025,,,,,,,,,,,,
1.5,0.4215,0.4985,742,2818048,3795,172,0.08,-0.15,-0.00011461152462288737,0.37221768498420715,684,0.0022735595703125,0.18850451707839966,-0.17702506016939878,0.0001,0.7722704596817493,0.0008181378,0.2,,
1.42,0.433,0.49,746,2834432,3796,173,0.077,0.02,-0.0003122222260572016,0.38939064741134644,688,0.0059356689453125,0.18260538578033447,-0.17582107754424214,0.0001,0.7682941369712353,0.0004910178,0.2,,
,0.421,0.488,,2840000,,,0.091,,-0.00037429686199175194,0.3671996593475342,692,0.0031890869140625,0.19044601917266846,-0.1707207108847797,0.0001,0.7600101679563522,0.0005812806,0.2,0.009,1.516
1.62,0.4245,0.478,751,2850816,3795,174,0.0975,0.115,,,,,,,,,,,,
1.43,0.4325,0.485,755,2867200,3794,175,0.0825,-0.125,-0.0002718335308600217,0.3662453591823578,696,0.00335693359375,0.18331217765808105,-0.1705370550043881,0.0001,0.7628923188894987,0.00031638093,0.2,,
,0.4205,0.4925,,2880000,,,0.087,,-0.00047780858949408866,0.38353946805000305,700,0.0059661865234375,0.18025588989257812,-0.17441051173955202,0.0001,0.7724726162850857,0.0010094206,0.2,-0.013,1.536
1.44,0.437,0.479,760,2883584,3792,176,0.084,0.015,,,,,,,,,,,,
1.54,0.443,0.4595,764,2899968,3790,177,0.0975,0.0,-0.00011957829337916337,0.37700411677360535,704,0.002960205078125,0.18352371454238892,-0.17185942735522985,0.0001,0.7809839025139809,0.0006744676,0.2,,
1.62,0.4135,0.4935,769,2916352,3791,178,0.093,-0.01,-4.726007682620548e-05,0.37527644634246826,708,6.103515625e-05,0.18046045303344727,-0.17067877762019634,0.0001,0.772111851722002,0.00020624296,0.2,,
,0.428,0.4845,,2920000,,,0.0875,,-0.00032884153188206255,0.3858264982700348,712,0.005340576171875,0.17882543802261353,-0.17139562172815204,0.0001,0.776851350441575,0.00109753,0.2,0.009,1.534
1.45,0.4255,0.4795,773,2932736,3789,179,0.095,-0.09,,,,,,,,,,,,
1.53,0.428,0.491,778,2949120,3788,180,0.081,-0.08,-0.0001391017394780647,0.3867952823638916,716,0.002593994140625,0.18402594327926636,-0.17348739551380277,0.0001,0.7775452584028244,0.0004612236,0.2,,
,0.4365,0.48,,2960000,,,0.0835,,-0.00025655276112956926,0.37285229563713074,720,0.0041046142578125,0.19099074602127075,-0.17365352483466268,0.0001,0.771258220076561,0.0008600945,0.2,-0.057,1.532
1.59,0.412,0.4985,783,2965504,3785,181,0.0895,0.03,,,,,,,,,,,,
1.56,0.4285,0.4905,787,2981888,3784,182,0.081,0.055,-0.0002062242383544799,0.38973820209503174,724,0.004058837890625,0.18583714962005615,-0.17691074311733246,0.0001,0.7749157305806875,0.0009157645,0.2,,
1.44,0.417,0.4835,792,2998272,3783,183,0.0995,-0.02,-0.00044929531213711016,0.37381982803344727,728,0.004119873046875,0.20059067010879517,-0.17870619194582105,0.0001,0.7697568144649267,0.000683579,0.2,,
,,,,3000000,,,,,-0.000606181343755452,0.37320995330810547,732,0.0065765380859375,0.194594144821167,-0.17815603269264102,0.0001,0.7795108258724213,0.000997357,0.2,-0.066,1.552
1.55,0.438,0.4885,797,3014656,3781,184,0.0735,-0.07,,,,,,,,,,,,
1.5,0.4225,0.4845,801,3031040,3780,185,0.093,0.0,-0.0003661341870611068,0.38249367475509644,736,0.00262451171875,0.19336199760437012,-0.17543841898441315,0.0001,0.7884319722652435,0.00087482686,0.2,,
,0.4305,0.47,,3040000,,,0.0995,,-0.00032472304519615136,0.37693867087364197,740,0.0040435791015625,0.17590868473052979,-0.17837714590132236,0.0001,0.7853783518075943,0.0007365692,0.2,-0.053,1.588
1.76,0.427,0.478,806,3047424,3778,186,0.095,0.035,,,,,,,,,,,,
1.59,0.433,0.4785,811,3063808,3777,187,0.0885,-0.04,-0.0006754198329872452,0.37239864468574524,744,0.0086822509765625,0.18593144416809082,-0.1858005509711802,0.0001,0.7890692986547947,0.0009136513,0.2,,
,0.437,0.479,,3080000,,,0.084,,-1.0182979167439044e-05,0.3909654915332794,748,3.0517578125e-05,0.19013309478759766,-0.18325163843110204,0.0001,0.8087188340723515,0.00015550003,0.2,-0.053,1.552
1.47,0.4315,0.484,815,3080192,3775,188,0.0845,-0.25,,,,,,,,,,,,
1.56,0.43,0.502,820,3096576,3774,189,0.068,-0.035,-0.00025574817482265644,0.3935154676437378,752,0.0023956298828125,0.17601925134658813,-0.18332944018766284,0.0001,0.8144542351365089,0.0007613411,0.2,,
1.54,0.426,0.4775,824,3112960,3773,190,0.0965,-0.06,-0.00021784279306302778,0.39516013860702515,756,0.001983642578125,0.17989706993103027,-0.18862846214324236,0.0001,0.8273589331656694,0.00041572558,0.2,,
,0.4355,0.471,,3120000,,,0.0935,,-0.0005913613913435256,0.4070703983306885,760,0.0058746337890625,0.18273842334747314,-0.19061404280364513,0.0001,0.8095977567136288,0.0008234575,0.2,-0.04,1.586
1.69,0.421,0.49,830,3129344,3770,191,0.089,-0.205,,,,,,,,,,,,
1.52,0.452,0.4715,834,3145728,3769,192,0.0765,-0.025,-0.0005910887539357645,0.38956353068351746,764,0.0038299560546875,0.19155222177505493,-0.18682080646976829,0.0001,0.797737130895257,0.00051238074,0.2,,
,0.423,0.4815,,3160000,,,0.0955,,-0.0004412948437675368,0.3849841356277466,768,0.0057830810546875,0.18675756454467773,-0.1800804529339075,0.0001,0.8015335183590651,0.00088595704,0.2,-0.03,1.61
1.48,0.4515,0.4605,838,3162112,3769,193,0.088,0.06,,,,,,,,,,,,
1.56,0.419,0.49,842,3178496,3770,194,0.091,0.06,-0.0001878678103821585,0.39248892664909363,772,0.0020294189453125,0.18925493955612183,-0.18030220875516534,0.0001,0.7852945066988468,0.00048433055,0.2,,
1.43,0.425,0.4905,846,3194880,3772,195,0.0845,0.05,-0.0004404468709253706,0.37533998489379883,776,0.0023956298828125,0.20408493280410767,-0.17836932558566332,0.0001,0.7619942482560873,0.00036516017,0.2,,
,0.4005,0.506,,3200000,,,0.0935,,-0.0004949597205268219,0.39588093757629395,780,0.006927490234375,0.19346654415130615,-0.18314014375209808,0.0001,0.7858806364238262,0.00090266555,0.2,0.004,1.574
1.52,0.437,0.476,851,3211264,3770,196,0.087,-0.015,,,,,,,,,,,,
1.49,0.4155,0.4905,856,3227648,3769,197,0.094,-0.23,-0.0001839890483097406,0.38344448804855347,784,0.0013580322265625,0.20277422666549683,-0.18069994822144508,0.0001,0.7774578146636486,0.00065650675,0.2,,
,0.425,0.484,,3240000,,,0.091,,-0.0004100332116649952,0.3714437782764435,788,0.00360107421875,0.19016849994659424,-0.18228920735418797,0.0001,0.7891801986843348,0.00072307326,0.2,-0.012,1.56
1.68,0.415,0.496,860,3244032,3767,198,0.089,0.125,,,,,,,,,,,,
1.58,0.4305,0.494,865,3260416,3767,199,0.0755,0.185,-8.029839227674529e-05,0.3960616886615753,792,0.000885009765625,0.184343159198761,-0.18218267569318414,0.0001,0.8059457037597895,0.00015027287,0.2,,
1.62,0.4095,0.5035,870,3276800,3766,200,0.087,-0.14,-0.00010313096572645009,0.3724975287914276,796,0.0034027099609375,0.18897885084152222,-0.18084562476724386,0.0001,0.7851570714265108,0.0005282669,0.2,,
,0.3975,0.5195,,3280000,,,0.083,,-0.0003628854756243527,0.38961300253868103,800,0.0047760009765625,0.19940322637557983,-0.17337115202099085,0.0001,0.7809621896594763,0.0009435749,0.2,-0.01,1.556
1.66,0.431,0.478,874,3293184,3764,201,0.091,-0.02,,,,,,,,,,,,
1.56,0.431,0.475,878,3309568,3766,202,0.094,-0.02,-0.0001799065685190726,0.3733184337615967,804,0.0020904541015625,0.19707244634628296,-0.17544590588659048,0.0001,0.7754704616963863,0.00026998413,0.2,,
,0.448,0.46,,3320000,,,0.092,,-0.00016840190073708072,0.3782181739807129,808,0.005279541015625,0.1936822533607483,-0.17610967811197042,0.0001,0.7760110851377249,0.00106411,0.2,-0.031,1.596
1.66,0.427,0.4935,883,3325952,3765,203,0.0795,-0.2,,,,,,,,,,,,
1.52,0.435,0.4805,887,3342336,3766,204,0.0845,-0.025,-0.0002786174009088427,0.3594246506690979,812,0.0040740966796875,0.19485366344451904,-0.17542531620711088,0.0001,0.7790954597294331,0.00024489747,0.2,,
1.56,0.4555,0.453,891,3358720,3768,205,0.0915,0.2,-0.0003651725310191978,0.3694276213645935,816,0.006622314453125,0.197151780128479,-0.17677640495821834,0.0001,0.7812567614018917,0.0009715272,0.2,,
,,,,3360000,,,,,2.5232713596778922e-05,0.38531583547592163,820,0.0036163330078125,0.1999908685684204,-0.18194267246872187,0.0001,0.7879830375313759,0.000751207,0.2,-0.052,1.568
1.46,0.4235,0.4795,895,3375104,3768,206,0.097,0.035,,,,,,,,,,,,
1.5,0.431,0.477,899,3391488,3769,207,0.092,0.075,-0.0007847170272725634,0.3750852644443512,824,0.005889892578125,0.19564539194107056,-0.17911065323278308,0.0001,0.7855962663888931,0.0005241445,0.2,,
,0.431,0.4805,,3400000,,,0.0885,,-6.341772677842528e-05,0.39976441860198975,828,0.0018463134765625,0.19549214839935303,-0.17935457453131676,0.0001,0.7982687149196863,0.00014743487,0.2,-0.021,1.552
1.46,0.4225,0.49,903,3407872,3770,208,0.0875,-0.165,,,,,,,,,,,,
1.56,0.442,0.476,908,3424256,3771,209,0.082,0.03,-0.00024479995045112446,0.3697752356529236,832,0.0025787353515625,0.20975792407989502,-0.17611308628693223,0.0001,0.7815802451223135,0.00082433334,0.2,,
,0.417,0.4975,,3440000,,,0.0855,,-0.00020509948808467016,0.3823621869087219,836,0.003692626953125,0.1969110369682312,-0.17802633345127106,0.0001,0.7837965954095125,0.00070770795,0.2,0.001,1.586
1.47,0.4265,0.4895,912,3440640,3771,210,0.084,-0.03,,,,,,,,,,,,
1.48,0.431,0.483,916,3457024,3772,211,0.086,-0.25,-0.0006203357552294619,0.3968654274940491,840,0.0065460205078125,0.19636529684066772,-0.17606454901397228,0.0001,0.8032232634723186,0.0011551324,0.2,,
1.67,0.4325,0.4855,920,3473408,3773,212,0.082,-0.22,-0.00020735884027089924,0.4080420732498169,844,0.0061187744140625,0.20246469974517822,-0.17819078173488379,0.0001,0.8050727806985378,0.0008603523,0.2,,
,0.4125,0.4955,,3480000,,,0.092,,-6.178933108458295e-05,0.38361456990242004,848,0.0020751953125,0.20485931634902954,-0.17953402362763882,0.0001,0.7924277782440186,0.00048297574,0.2,-0.081,1.582
1.55,0.446,0.4595,924,3489792,3774,213,0.0945,-0.04,,,,,,,,,,,,
1.49,0.441,0.47,928,3506176,3774,214,0.089,-0.11,-0.0001554093905724585,0.4143982231616974,852,0.00091552734375,0.19858580827713013,-0.17892809910699725,0.0001,0.8228880446404219,0.0004530703,0.2,,
,0.4025,0.505,,3520000,,,0.0925,,-0.00012332845653872937,0.39343079924583435,856,0.0013275146484375,0.19946515560150146,-0.1748448656871915,0.0001,0.8013339545577765,0.00038506163,0.2,-0.038,1.576
1.68,0.441,0.465,933,3522560,3774,215,0.094,-0.305,,,,,,,,,,,,
1.64,0.417,0.4865,937,3538944,3775,216,0.0965,-0.03,-0.00045199856049293885,0.4079470932483673,860,0.0025482177734375,0.1963132619857788,-0.18005083315074444,0.0001,0.8158901315182447,0.00091549335,0.2,,
