rollout/ep_len_mean,custom/win_rate,custom/loss_rate,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,custom/tie_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
1.18,0.3745,0.577,103,360448,3477,22,0.0485,0.005,,,,,,,,,,,,
1.1,0.402,0.537,107,376832,3505,23,0.061,-0.08,-0.001930039252329152,0.4197099804878235,88,0.024627685546875,0.1385411024093628,-0.5863640531897545,0.0001,0.9054041374474764,0.004343758,0.2,,
1.27,0.3915,0.544,111,393216,3532,24,0.0645,-0.24,-0.0023501755895267706,0.4317469000816345,92,0.0090789794921875,0.13143110275268555,-0.5799070503562689,0.0001,0.9267727956175804,0.0038659358,0.2,,
,0.3845,0.549,,400000,,,0.0665,,-0.002152208635379793,0.4069310128688812,96,0.006317138671875,0.1377190351486206,-0.5643735285848379,0.0001,0.8988697715103626,0.0040118946,0.2,-0.046,1.24
1.28,0.414,0.5225,115,409600,3547,25,0.0635,-0.35,,,,,,,,,,,,
1.27,0.4055,0.5355,119,425984,3567,26,0.059,-0.075,-0.0027610495271801483,0.43719998002052307,100,0.0188140869140625,0.12687987089157104,-0.560201583430171,0.0001,0.905171288177371,0.004087853,0.2,,
,0.399,0.5405,,440000,,,0.0605,,-0.002681266556464834,0.4365450143814087,104,0.01202392578125,0.11880481243133545,-0.531196653842926,0.0001,0.9142338316887617,0.0046057194,0.2,-0.102,1.35
1.4,0.3805,0.547,123,442368,3578,27,0.0725,0.05,,,,,,,,,,,,
1.34,0.405,0.5305,127,458752,3595,28,0.0645,-0.17,-0.003199262901034672,0.4360945224761963,108,0.00640869140625,0.12382501363754272,-0.5048180324956775,0.0001,0.8931370545178652,0.0011489227,0.2,,
1.31,0.409,0.5175,131,475136,3617,29,0.0735,-0.045,-0.0021576249055215158,0.40699946880340576,112,0.005859375,0.13617706298828125,-0.4865666078403592,0.0001,0.8716758582741022,0.0023189,0.2,,
,0.411,0.523,,480000,,,0.066,,-0.0015455938373634126,0.4083869159221649,116,0.0055694580078125,0.11321932077407837,-0.47107062954455614,0.0001,0.8759447168558836,0.0023790293,0.2,-0.058,1.354
1.28,0.4185,0.517,135,491520,3632,30,0.0645,0.025,,,,,,,,,,,,
1.41,0.408,0.525,138,507904,3654,31,0.067,-0.26,-0.0017069944478862453,0.4101386070251465,120,0.0042724609375,0.1265537142753601,-0.45714473724365234,0.0001,0.8802418615669012,0.0013156167,0.2,,
,0.3945,0.5365,,520000,,,0.069,,-0.0021795107822981663,0.39405250549316406,124,0.0020599365234375,0.12076824903488159,-0.4335733512416482,0.0001,0.8675233945250511,0.00081348815,0.2,-0.117,1.39
1.31,0.4095,0.52,142,524288,3668,32,0.0705,-0.185,,,,,,,,,,,,
1.41,0.426,0.512,147,540672,3675,33,0.062,-0.095,-0.001397677457134705,0.42446887493133545,128,0.0002593994140625,0.11382138729095459,-0.41807971615344286,0.0001,0.8743335250765085,0.00049424067,0.2,,
1.38,0.401,0.53,151,557056,3681,34,0.069,-0.11,-0.0009262895400752313,0.41357243061065674,132,0.0009918212890625,0.12210303544998169,-0.41148641239851713,0.0001,0.8615435399115086,0.0008810598,0.2,,
,0.393,0.5295,,560000,,,0.0775,,-0.0016243377176579088,0.42096251249313354,136,0.0172119140625,0.11988699436187744,-0.40740396454930305,0.0001,0.8698151987046003,0.0023198961,0.2,0.012,1.428
1.42,0.408,0.5225,155,573440,3681,35,0.0695,-0.03,,,,,,,,,,,,
1.32,0.4135,0.5165,159,589824,3688,36,0.07,0.01,-0.0008277981032733805,0.4242607653141022,140,0.0014190673828125,0.11677390336990356,-0.40017994213849306,0.0001,0.8765474874526262,0.0015524903,0.2,,
,0.3905,0.537,,600000,,,0.0725,,-0.0013012331219215412,0.4141581952571869,144,0.011444091796875,0.11824119091033936,-0.39956938568502665,0.0001,0.8719948809593916,0.0023703761,0.2,-0.071,1.402
1.45,0.426,0.5035,164,606208,3687,37,0.0705,-0.085,,,,,,,,,,,,
1.48,0.4225,0.5155,168,622592,3694,38,0.062,0.18,-0.00147518219819176,0.40872758626937866,148,0.0066375732421875,0.12097662687301636,-0.3847256125882268,0.0001,0.8716689627617598,0.00075067783,0.2,,
1.44,0.4095,0.51,172,638976,3705,39,0.0805,-0.025,-0.0010280610986228567,0.4077913761138916,152,0.001068115234375,0.11625993251800537,-0.3738655121996999,0.0001,0.8670356255024672,0.0011293783,0.2,,
,,,,640000,,,,,-0.0006839741363364737,0.4100683629512787,156,0.0033721923828125,0.11869198083877563,-0.36980443447828293,0.0001,0.8598483093082905,0.00034236856,0.2,-0.077,1.456
1.3,0.437,0.492,176,655360,3711,40,0.071,-0.015,,,,,,,,,,,,
1.45,0.3995,0.5175,180,671744,3722,41,0.083,-0.095,-0.0005803152016596869,0.42615723609924316,160,0.00274658203125,0.11713701486587524,-0.3627752913162112,0.0001,0.8686508852988482,0.0016249095,0.2,,
,0.4325,0.5065,,680000,,,0.061,,-0.0009666468104114756,0.40247946977615356,164,0.005584716796875,0.11700183153152466,-0.35442197043448687,0.0001,0.854570847004652,0.0014238995,0.2,-0.045,1.42
1.46,0.4015,0.5275,184,688128,3728,42,0.071,-0.085,,,,,,,,,,,,
1.45,0.4065,0.522,188,704512,3736,43,0.0715,-0.28,-0.0013266415953694377,0.41394180059432983,168,0.003265380859375,0.11364209651947021,-0.344918149523437,0.0001,0.862301291897893,0.0007870949,0.2,,
,0.4175,0.5,,720000,,,0.0825,,-0.0007429664910887368,0.4015429615974426,172,0.0039825439453125,0.11459940671920776,-0.3378324890509248,0.0001,0.8591968771070242,0.00054269016,0.2,-0.045,1.444
1.5,0.413,0.499,192,720896,3741,44,0.088,-0.05,,,,,,,,,,,,
1.44,0.3995,0.518,196,737280,3751,45,0.0825,-0.1,-0.000659418376017129,0.414282888174057,176,0.0013885498046875,0.11305898427963257,-0.3345541376620531,0.0001,0.8506333809345961,0.0007476624,0.2,,
1.45,0.413,0.5115,200,753664,3761,46,0.0755,-0.075,-0.00038912103991606273,0.4090316891670227,180,0.0001983642578125,0.10537523031234741,-0.3306216634809971,0.0001,0.860727097839117,0.00047786953,0.2,,
,0.414,0.5155,,760000,,,0.0705,,-0.0013015208860451821,0.41060248017311096,184,0.007965087890625,0.11385899782180786,-0.3291203696280718,0.0001,0.8479296024888754,0.0016790756,0.2,-0.061,1.46
1.59,0.419,0.5005,204,770048,3765,47,0.0805,-0.165,,,,,,,,,,,,
1.51,0.4195,0.5075,208,786432,3772,48,0.073,0.145,-0.0011525268128025346,0.4063071608543396,188,0.0053863525390625,0.11679428815841675,-0.31784953363239765,0.0001,0.841231320053339,0.0013558342,0.2,,
